"depth_1m","vol.inc","area_1m","lake","cumvol","vol_1m","area.inc","inc","alpha"
12,69990.3523612823,74357.7410137362,"PS",2905949.61230385,407472.781889849,8734.77730490769,"12 - 13",0.124799733252088
12,2632490.34889952,2722224.00931062,"sc",81474819.1725288,25686080.8449484,179467.320822191,"12 - 13",0.0681739710450279
12,75771.7831239714,151543.566247943,"hs",7452492.79873311,75771.7831239714,151543.566247943,"12 - NA",2
12,2517549.76442655,2555521.27234153,"st",111523905.273276,73136267.374544,75943.0158299655,"12 - 13",0.0301654477313833
12,4235719.95162094,4267556.95210294,"ar",167995406.975187,111796807.07244,63674.0009639999,"12 - 13",0.0150326276739879
13,74812.2479379282,82258.8899972162,"WS",3217234.51234252,194022.120482502,14893.284118576,"13 - 14",0.199075479337728
13,61680.2614125085,65622.9637088285,"PS",2905949.61230385,337482.429528567,7885.40459263994,"13 - 14",0.127843242101448
13,2459110.40979843,2542756.68848843,"sc",81474819.1725288,23053590.4960489,167292.557380002,"13 - 14",0.0680297056664956
13,2443672.51532631,2479578.25651157,"st",111523905.273276,70618717.6101175,71811.4823705154,"13 - 14",0.0293867046096094
13,4172454.59638989,4203882.95113894,"ar",167995406.975187,107561087.120819,62856.7094981032,"13 - 14",0.0150646838799608
14,59543.9518210593,67365.6058786402,"WS",3217234.51234252,119209.872544574,15643.3081151619,"14 - 15",0.262718674806351
14,54144.648183537,57737.5591161885,"PS",2905949.61230385,275802.168116058,7185.82186530306,"14 - 15",0.132715274849416
14,2296937.03296601,2375464.13110843,"sc",81474819.1725288,20594480.0862505,157054.196284825,"14 - 15",0.0683754905035522
14,2373716.4050827,2407766.77414105,"st",111523905.273276,68175045.0947912,68100.7381167049,"14 - 15",0.0286895005531768
14,4109958.04473929,4141026.24164084,"ar",167995406.975187,103388632.524429,62136.3938031015,"14 - 15",0.0151184983220536
15,42763.5348026268,51722.2977634783,"WS",3217234.51234252,59665.9207235145,17917.525921703,"15 - 16",0.418990759402853
15,47248.2905535173,50551.7372508855,"PS",2905949.61230385,221657.519932521,6606.89339473641,"15 - 16",0.139833490637146
15,2144192.48990663,2218409.9348236,"sc",81474819.1725288,18297543.0532845,148434.889833943,"15 - 16",0.0692264759496509
15,2307288.85278475,2339666.03602435,"st",111523905.273276,65801328.6897085,64754.3664791896,"15 - 16",0.0280651321142713
15,4048135.07705367,4078889.84783774,"ar",167995406.975187,99278674.4796902,61509.5415681279,"15 - 16",0.0151945378297248
16,16902.3859208877,33804.7718417753,"WS",3217234.51234252,16902.3859208877,33804.7718417753,"16 - 17",2
16,40880.9273765034,43944.8438561491,"PS",2905949.61230385,174409.229379004,6127.83295929123,"16 - 17",0.149894666108119
16,1999376.12504166,2069975.04498966,"sc",81474819.1725288,16153350.5633778,141197.839895996,"16 - 17",0.0706209492688893
16,2244048.94705584,2274911.66954516,"st",111523905.273276,63494039.8369237,61725.4449786325,"16 - 17",0.0275062828106381
16,3986893.58640264,4017380.30626961,"ar",167995406.975187,95230539.4026365,60973.439733949,"16 - 17",0.0152934705711484
17,0,0,"WS",3217234.51234252,0,0,"17 - NA",NA
17,34949.8436980168,37817.0108968578,"PS",2905949.61230385,133528.3020025,5734.33439768203,"17 - 18",0.164073248716915
17,1861192.83998081,1928777.20509366,"sc",81474819.1725288,14153974.4383362,135168.730225695,"17 - 18",0.0726247852033906
17,2183698.8911835,2213186.22456652,"st",111523905.273276,61249990.8898679,58974.6667660484,"17 - 18",0.027006775981869
17,3926143.79493679,3956406.86653566,"ar",167995406.975187,91243645.8162339,60526.1431977502,"17 - 18",0.0154161809549119
18,29373.7810651237,32082.6764991758,"PS",2905949.61230385,98578.4583044835,5417.79086810412,"18 - 19",0.184443087394588
18,1728496.31261012,1793608.47486797,"sc",81474819.1725288,12292781.5983554,130224.324515696,"18 - 19",0.0753396600071715
18,2125977.11416275,2154211.55780048,"st",111523905.273276,59066291.9986844,56468.8872754583,"18 - 19",0.026561380599667
18,3865797.49345568,3895880.72333791,"ar",167995406.975187,87317502.0212971,60166.4597644559,"18 - 19",0.0155637898431851
19,24076.9799843576,26664.8856310717,"PS",2905949.61230385,69204.6772393598,5175.81129342811,"19 - 20",0.21496929003516
19,1600240.99010814,1663384.15035227,"sc",81474819.1725288,10564285.2857452,126286.320488255,"19 - 20",0.0789170639103053
19,2070652.676157,2097742.67052502,"st",111523905.273276,56940314.8845216,54179.9887360255,"19 - 20",0.0261656575049467
19,3805767.28788313,3835714.26357346,"ar",167995406.975187,83451704.5278414,59893.9513806473,"19 - 20",0.0157376809589327
20,18981.4415674287,21489.0743376436,"PS",2905949.61230385,45127.6972550021,5015.2655404298,"20 - 21",0.264219423093543
20,1475437.77610503,1537097.82986402,"sc",81474819.1725288,8964044.29563709,123320.107517973,"20 - 21",0.0835820456241282
20,2017520.68930166,2043562.68178899,"st",111523905.273276,54869662.2083646,52083.9849746714,"20 - 21",0.0258158368590013
20,3745965.83600661,3775820.31219281,"ar",167995406.975187,79645937.2399583,59708.9523723912,"20 - 21",0.0159395346851438
21,13992.3387299314,16473.8087972138,"PS",2905949.61230385,26146.2556875735,4962.94013456467,"21 - 22",0.354689822077298
21,1353108.09694302,1413777.72234604,"sc",81474819.1725288,7488606.51953206,121339.25080604,"21 - 22",0.0896744695269893
21,1966398.54194424,1991478.69681432,"st",111523905.273276,52852141.519063,50160.3097401615,"21 - 22",0.0255087199620106
21,3686305.05673363,3716111.35982042,"ar",167995406.975187,75899971.4039517,59612.6061735703,"21 - 22",0.0161713708594676
22,8954.6756444833,11510.8686626491,"PS",2905949.61230385,12153.916957642,5112.38603633161,"22 - 23",0.570918058822286
22,1232229.27907728,1292438.47154,"sc",81474819.1725288,6135498.42258904,120418.384925439,"22 - 23",0.0977240088107716
22,1917122.7638059,1941318.38707416,"st",111523905.273276,50885742.9771187,48391.2465365222,"22 - 23",0.0252416003033917
22,3626695.29217876,3656498.75364685,"ar",167995406.975187,72213666.347218,59606.9229361704,"22 - 23",0.0164356026999889
23,3199.24131315875,6398.48262631749,"PS",2905949.61230385,3199.24131315875,6398.48262631749,"23 - 24",2
23,1111659.58922589,1172020.08661456,"sc",81474819.1725288,4903269.14351175,120720.994777351,"23 - 24",0.108595289373986
23,1869546.40626198,1892927.14053764,"st",111523905.273276,48968620.2133128,46761.4685513196,"23 - 24",0.0250121999618163
23,3567044.39994291,3596891.83071068,"ar",167995406.975187,68586971.0550393,59694.861535538,"23 - 24",0.0167351047092359
24,0,0,"PS",2905949.61230385,0,0,"24 - NA",NA
24,990020.224192861,1051299.09183721,"sc",81474819.1725288,3791609.55428586,122557.735288704,"24 - 25",0.123793163304944
24,1823536.83950537,1846165.67198632,"st",111523905.273276,47099073.8070508,45257.6649618859,"24 - 25",0.0248186184021168
