"Lake","Parameter","Value"
"Sc","Chla_ugL",1.78
"Sc","Turbidity_FTU",1.47
"Sc","DO_pc",16.46
"Sc","DO_mgL",1.702
"Sc","Depth_m",7.2
"Sc","T_C",13.48
"Sc","Salinity",0.213
"Sc","Cond_uScm",0.3428
"Sc","EC25_uScm",459.118
"Sc","Density_kgm3",999.516
"Sc","Chla_ugL",1.55
"Sc","Turbidity_FTU",1.78
"Sc","DO_pc",15.94
"Sc","DO_mgL",1.651
"Sc","Depth_m",7.3
"Sc","T_C",13.493
"Sc","Salinity",0.213
"Sc","Cond_uScm",0.3423
"Sc","EC25_uScm",458.349
"Sc","Density_kgm3",999.515
"Sc","Chla_ugL",1.77
"Sc","Turbidity_FTU",1.6
"Sc","DO_pc",14.74
"Sc","DO_mgL",1.527
"Sc","Depth_m",7.4
"Sc","T_C",13.408
"Sc","Salinity",0.212
"Sc","Cond_uScm",0.3412
"Sc","EC25_uScm",457.962
"Sc","Density_kgm3",999.526
"Sc","Chla_ugL",1.54
"Sc","Turbidity_FTU",1.22
"Sc","DO_pc",14.5
"Sc","DO_mgL",1.505
"Sc","Depth_m",7.5
"Sc","T_C",13.319
"Sc","Salinity",0.213
"Sc","Cond_uScm",0.3411
"Sc","EC25_uScm",459.058
"Sc","Density_kgm3",999.539
"Sc","Chla_ugL",1.44
"Sc","Turbidity_FTU",1.25
"Sc","DO_pc",14.3
"Sc","DO_mgL",1.486
"Sc","Depth_m",7.6
"Sc","T_C",13.254
"Sc","Salinity",0.212
"Sc","Cond_uScm",0.3395
"Sc","EC25_uScm",457.818
"Sc","Density_kgm3",999.547
"Sc","Chla_ugL",1.46
"Sc","Turbidity_FTU",1.21
"Sc","DO_pc",14.32
"Sc","DO_mgL",1.491
"Sc","Depth_m",7.7
"Sc","T_C",13.098
"Sc","Salinity",0.211
"Sc","Cond_uScm",0.3374
"Sc","EC25_uScm",457.019
"Sc","Density_kgm3",999.567
"Sc","Chla_ugL",1.65
"Sc","Turbidity_FTU",1.15
"Sc","DO_pc",14.37
"Sc","DO_mgL",1.502
"Sc","Depth_m",7.8
