"Lake","Parameter","Value"
"Ar","Turbidity_FTU",2.53
"Ar","DO_pc",0.22
"Ar","DO_mgL",0.021
"Ar","Depth_m",6.6
"Ar","T_C",15.875
"Ar","Salinity",0.322
"Ar","Cond_uScm",0.5433
"Ar","EC25_uScm",679.764
"Ar","Density_kgm3",999.244
"Ar","Chla_ugL",14.13
"Ar","Turbidity_FTU",3.12
"Ar","DO_pc",0.2
"Ar","DO_mgL",0.02
"Ar","Depth_m",6.7
"Ar","T_C",15.284
"Ar","Salinity",0.321
"Ar","Cond_uScm",0.5341
"Ar","EC25_uScm",679.262
"Ar","Density_kgm3",999.337
"Ar","Chla_ugL",12.14
"Ar","Turbidity_FTU",3.38
"Ar","DO_pc",0.17
"Ar","DO_mgL",0.017
"Ar","Depth_m",6.8
"Ar","T_C",14.866
"Ar","Salinity",0.322
"Ar","Cond_uScm",0.5293
"Ar","EC25_uScm",681.161
"Ar","Density_kgm3",999.402
"Ar","Chla_ugL",9.44
"Ar","Turbidity_FTU",3.79
"Ar","DO_pc",0.17
"Ar","DO_mgL",0.017
"Ar","Depth_m",6.9
"Ar","T_C",14.698
"Ar","Salinity",0.323
"Ar","Cond_uScm",0.5293
"Ar","EC25_uScm",684.442
"Ar","Density_kgm3",999.428
"Ar","Chla_ugL",8.84
"Ar","Turbidity_FTU",3.83
"Ar","DO_pc",0.14
"Ar","DO_mgL",0.014
"Ar","Depth_m",7
"Ar","T_C",14.278
"Ar","Salinity",0.32
"Ar","Cond_uScm",0.52
"Ar","EC25_uScm",680.507
"Ar","Density_kgm3",999.488
"Ar","Chla_ugL",7.96
"Ar","Turbidity_FTU",4.09
"Ar","DO_pc",0.14
"Ar","DO_mgL",0.014
"Ar","Depth_m",7.1
"Ar","T_C",14.106
"Ar","Salinity",0.322
"Ar","Cond_uScm",0.5207
"Ar","EC25_uScm",684.777
"Ar","Density_kgm3",999.514
"Ar","Chla_ugL",7.66
"Ar","Turbidity_FTU",4.3
"Ar","DO_pc",0.12
"Ar","DO_mgL",0.013
"Ar","Depth_m",7.2
"Ar","T_C",13.961
"Ar","Salinity",0.32
"Ar","Cond_uScm",0.5156
"Ar","EC25_uScm",680.94
"Ar","Density_kgm3",999.533
"Ar","Chla_ugL",5.71
"Ar","Turbidity_FTU",3.19
"Ar","DO_pc",0.13
"Ar","DO_mgL",0.014
"Ar","Depth_m",7.3
"Ar","T_C",13.723
"Ar","Salinity",0.321
"Ar","Cond_uScm",0.5149
"Ar","EC25_uScm",684.734
"Ar","Density_kgm3",999.568
"Ar","Chla_ugL",4.53
"Ar","Turbidity_FTU",2.43
"Ar","DO_pc",0.13
"Ar","DO_mgL",0.013
"Ar","Depth_m",7.4
"Ar","T_C",13.614
"Ar","Salinity",0.32
"Ar","Cond_uScm",0.5113
"Ar","EC25_uScm",682.179
"Ar","Density_kgm3",999.582
"Ar","Chla_ugL",5.58
"Ar","Turbidity_FTU",3.34
"Ar","DO_pc",0.12
"Ar","DO_mgL",0.012
"Ar","Depth_m",7.5
"Ar","T_C",13.476
"Ar","Salinity",0.32
"Ar","Cond_uScm",0.5094
"Ar","EC25_uScm",682.424
"Ar","Density_kgm3",999.601
"Ar","Chla_ugL",6.96
"Ar","Turbidity_FTU",4.08
"Ar","DO_pc",0.12
"Ar","DO_mgL",0.012
"Ar","Depth_m",7.6
"Ar","T_C",13.314
"Ar","Salinity",0.32
"Ar","Cond_uScm",0.5069
"Ar","EC25_uScm",682.365
"Ar","Density_kgm3",999.623
"Ar","Chla_ugL",5.94
"Ar","Turbidity_FTU",3.6
"Ar","DO_pc",0.12
"Ar","DO_mgL",0.012
"Ar","Depth_m",7.7
"Ar","T_C",12.991
"Ar","Salinity",0.32
"Ar","Cond_uScm",0.5042
"Ar","EC25_uScm",685.295
"Ar","Density_kgm3",999.665
"Ar","Chla_ugL",7.26
"Ar","Turbidity_FTU",4.11
"Ar","DO_pc",0.1
"Ar","DO_mgL",0.01
"Ar","Depth_m",7.8
"Ar","T_C",12.749
"Ar","Salinity",0.321
"Ar","Cond_uScm",0.502
"Ar","EC25_uScm",687.183
"Ar","Density_kgm3",999.697
"Ar","Chla_ugL",9.01
"Ar","Turbidity_FTU",4.78
"Ar","DO_pc",0.11
"Ar","DO_mgL",0.011
"Ar","Depth_m",7.9
"Ar","T_C",12.617
"Ar","Salinity",0.32
"Ar","Cond_uScm",0.4997
"Ar","EC25_uScm",686.751
"Ar","Density_kgm3",999.713
"Ar","Chla_ugL",7.52
"Ar","Turbidity_FTU",3.95
"Ar","DO_pc",0.1
"Ar","DO_mgL",0.011
"Ar","Depth_m",8
"Ar","T_C",12.493
"Ar","Salinity",0.322
"Ar","Cond_uScm",0.4997
"Ar","EC25_uScm",689.411
"Ar","Density_kgm3",999.73
"Ar","Chla_ugL",7.58
"Ar","Turbidity_FTU",4.16
"Ar","DO_pc",0.11
"Ar","DO_mgL",0.012
"Ar","Depth_m",8.1
"Ar","T_C",12.272
"Ar","Salinity",0.323
"Ar","Cond_uScm",0.4988
"Ar","EC25_uScm",692.827
"Ar","Density_kgm3",999.758
"Ar","Chla_ugL",7.74
"Ar","Turbidity_FTU",3.99
"Ar","DO_pc",0.1
"Ar","DO_mgL",0.011
"Ar","Depth_m",8.2
"Ar","T_C",12.152
"Ar","Salinity",0.321
"Ar","Cond_uScm",0.4948
"Ar","EC25_uScm",689.802
"Ar","Density_kgm3",999.771
"Ar","Chla_ugL",8.18
"Ar","Turbidity_FTU",4.13
"Ar","DO_pc",0.11
"Ar","DO_mgL",0.012
"Ar","Depth_m",8.3
"Ar","T_C",11.935
"Ar","Salinity",0.322
"Ar","Cond_uScm",0.4929
"Ar","EC25_uScm",691.745
"Ar","Density_kgm3",999.797
"Ar","Chla_ugL",11.84
"Ar","Turbidity_FTU",4.69
"Ar","DO_pc",0.11
"Ar","DO_mgL",0.012
"Ar","Depth_m",8.4
"Ar","T_C",11.773
"Ar","Salinity",0.32
"Ar","Cond_uScm",0.4889
"Ar","EC25_uScm",689.542
"Ar","Density_kgm3",999.815
"Ar","Chla_ugL",10.49
"Ar","Turbidity_FTU",4.05
"Ar","DO_pc",0.1
"Ar","DO_mgL",0.011
"Ar","Depth_m",8.5
"Ar","T_C",11.59
"Ar","Salinity",0.321
"Ar","Cond_uScm",0.4875
"Ar","EC25_uScm",691.558
"Ar","Density_kgm3",999.836
"Ar","Chla_ugL",10.2
"Ar","Turbidity_FTU",3.7
"Ar","DO_pc",0.1
"Ar","DO_mgL",0.011
"Ar","Depth_m",8.6
"Ar","T_C",11.435
"Ar","Salinity",0.322
"Ar","Cond_uScm",0.4867
"Ar","EC25_uScm",693.723
"Ar","Density_kgm3",999.854
"Ar","Chla_ugL",10.77
