"Lake","Parameter","Value"
"Hs","DO_pc",28.32
"Hs","DO_mgL",2.834
"Hs","Depth_m",6.2
"Hs","T_C",14.902
"Hs","Salinity",0.2
"Hs","Cond_uScm",0.3329
"Hs","EC25_uScm",428.022
"Hs","Density_kgm3",999.299
"Hs","Chla_ugL",5.56
"Hs","Turbidity_FTU",2.6
"Hs","DO_pc",24.69
"Hs","DO_mgL",2.495
"Hs","Depth_m",6.3
"Hs","T_C",14.471
"Hs","Salinity",0.2
"Hs","Cond_uScm",0.33
"Hs","EC25_uScm",429.47
"Hs","Density_kgm3",999.363
"Hs","Chla_ugL",5.67
"Hs","Turbidity_FTU",2.96
"Hs","DO_pc",21.4
"Hs","DO_mgL",2.179
"Hs","Depth_m",6.4
"Hs","T_C",14.082
"Hs","Salinity",0.2
"Hs","Cond_uScm",0.3265
"Hs","EC25_uScm",429.714
"Hs","Density_kgm3",999.419
"Hs","Chla_ugL",5.96
"Hs","Turbidity_FTU",3.34
"Hs","DO_pc",18.49
"Hs","DO_mgL",1.896
"Hs","Depth_m",6.5
"Hs","T_C",13.719
"Hs","Salinity",0.199
"Hs","Cond_uScm",0.3231
"Hs","EC25_uScm",429.687
"Hs","Density_kgm3",999.47
"Hs","Chla_ugL",6.25
"Hs","Turbidity_FTU",3.98
"Hs","DO_pc",15.88
"Hs","DO_mgL",1.643
"Hs","Depth_m",6.6
"Hs","T_C",13.535
"Hs","Salinity",0.199
"Hs","Cond_uScm",0.3215
"Hs","EC25_uScm",429.926
"Hs","Density_kgm3",999.495
"Hs","Chla_ugL",6.37
"Hs","Turbidity_FTU",3.88
"Hs","DO_pc",14.68
"Hs","DO_mgL",1.525
"Hs","Depth_m",6.7
"Hs","T_C",13.198
"Hs","Salinity",0.198
"Hs","Cond_uScm",0.3174
"Hs","EC25_uScm",428.766
"Hs","Density_kgm3",999.539
"Hs","Chla_ugL",7.38
"Hs","Turbidity_FTU",4.8
"Hs","DO_pc",12.54
"Hs","DO_mgL",1.313
"Hs","Depth_m",6.8
"Hs","T_C",12.779
"Hs","Salinity",0.199
"Hs","Cond_uScm",0.3148
"Hs","EC25_uScm",430.574
"Hs","Density_kgm3",999.593
"Hs","Chla_ugL",14.61
"Hs","Turbidity_FTU",10.24
"Hs","DO_pc",10.04
"Hs","DO_mgL",1.059
"Hs","Depth_m",6.9
"Hs","T_C",13.033
"Hs","Salinity",0.202
"Hs","Cond_uScm",0.3219
"Hs","EC25_uScm",436.962
