"Depth_m","T_C","Salinity","Cond_uScm","EC25_uScm","Density_kgm3","Chla_ugL","Turbidity_FTU","DO_pc","DO_mgL","Lake"
5.7,18.735,0.32,0.5755,667.5,998.729,8.84,2.45,0.64,0.059,"Ar"
5.8,18.775,0.32,0.576,667.421,998.722,8.49,2.27,0.44,0.041,"Ar"
5.9,18.635,0.318,0.5718,664.877,998.748,9.67,2.43,0.42,0.039,"Ar"
6,18.273,0.32,0.5697,668.662,998.819,10.86,2.62,0.38,0.036,"Ar"
6.1,17.897,0.321,0.566,670.834,998.89,11.69,2.82,0.33,0.031,"Ar"
6.2,17.533,0.321,0.562,672.432,998.957,12.05,2.6,0.28,0.027,"Ar"
6.3,17.16,0.321,0.5569,673.016,999.024,13.24,2.5,0.25,0.024,"Ar"
6.4,16.768,0.323,0.5555,678.413,999.094,14.69,2.27,0.24,0.023,"Ar"
6.5,16.537,0.322,0.5504,676.324,999.133,15.37,2.53,0.22,0.021,"Ar"
6.6,15.875,0.322,0.5433,679.764,999.244,14.13,3.12,0.2,0.02,"Ar"
6.7,15.284,0.321,0.5341,679.262,999.337,12.14,3.38,0.17,0.017,"Ar"
6.8,14.866,0.322,0.5293,681.161,999.402,9.44,3.79,0.17,0.017,"Ar"
6.9,14.698,0.323,0.5293,684.442,999.428,8.84,3.83,0.14,0.014,"Ar"
7,14.278,0.32,0.52,680.507,999.488,7.96,4.09,0.14,0.014,"Ar"
7.1,14.106,0.322,0.5207,684.777,999.514,7.66,4.3,0.12,0.013,"Ar"
7.2,13.961,0.32,0.5156,680.94,999.533,5.71,3.19,0.13,0.014,"Ar"
7.3,13.723,0.321,0.5149,684.734,999.568,4.53,2.43,0.13,0.013,"Ar"
