"Lake","Parameter","Value"
"Gg","Density_kgm3",998.384
"Gg","Chla_ugL",6.27
"Gg","Turbidity_FTU",2.27
"Gg","DO_pc",71.1
"Gg","DO_mgL",6.452
"Gg","Depth_m",5.2
"Gg","T_C",19.714
"Gg","Salinity",0.25
"Gg","Cond_uScm",0.4629
"Gg","EC25_uScm",523.777
"Gg","Density_kgm3",998.479
"Gg","Chla_ugL",6.99
"Gg","Turbidity_FTU",2.14
"Gg","DO_pc",66.45
"Gg","DO_mgL",6.082
"Gg","Depth_m",5.3
"Gg","T_C",19.319
"Gg","Salinity",0.251
"Gg","Cond_uScm",0.46
"Gg","EC25_uScm",525.689
"Gg","Density_kgm3",998.56
"Gg","Chla_ugL",8.17
"Gg","Turbidity_FTU",2.29
"Gg","DO_pc",61.63
"Gg","DO_mgL",5.682
"Gg","Depth_m",5.4
"Gg","T_C",18.97
"Gg","Salinity",0.251
"Gg","Cond_uScm",0.4572
"Gg","EC25_uScm",527.086
"Gg","Density_kgm3",998.629
"Gg","Chla_ugL",8.25
"Gg","Turbidity_FTU",2.41
"Gg","DO_pc",56.76
"Gg","DO_mgL",5.267
"Gg","Depth_m",5.5
"Gg","T_C",18.341
"Gg","Salinity",0.252
"Gg","Cond_uScm",0.4521
"Gg","EC25_uScm",529.706
"Gg","Density_kgm3",998.752
"Gg","Chla_ugL",6.1
"Gg","Turbidity_FTU",2.39
"Gg","DO_pc",47.48
"Gg","DO_mgL",4.457
"Gg","Depth_m",5.6
"Gg","T_C",18.088
"Gg","Salinity",0.251
"Gg","Cond_uScm",0.4487
"Gg","EC25_uScm",529.196
"Gg","Density_kgm3",998.799
"Gg","Chla_ugL",5.49
"Gg","Turbidity_FTU",2.53
"Gg","DO_pc",43.27
"Gg","DO_mgL",4.088
"Gg","Depth_m",5.7
"Gg","T_C",17.792
"Gg","Salinity",0.251
"Gg","Cond_uScm",0.445
"Gg","EC25_uScm",528.808
"Gg","Density_kgm3",998.854
"Gg","Chla_ugL",6.36
"Gg","Turbidity_FTU",2.75
"Gg","DO_pc",39.27
"Gg","DO_mgL",3.734
"Gg","Depth_m",5.8
"Gg","T_C",17.138
"Gg","Salinity",0.251
"Gg","Cond_uScm",0.4383
"Gg","EC25_uScm",529.949
"Gg","Density_kgm3",998.972
"Gg","Chla_ugL",8.88
"Gg","Turbidity_FTU",3.19
"Gg","DO_pc",32.15
"Gg","DO_mgL",3.101
"Gg","Depth_m",5.9
"Gg","T_C",16.818
"Gg","Salinity",0.251
"Gg","Cond_uScm",0.436
"Gg","EC25_uScm",531.726
"Gg","Density_kgm3",999.028
"Gg","Chla_ugL",7.74
"Gg","Turbidity_FTU",3.02
"Gg","DO_pc",29.06
"Gg","DO_mgL",2.82
"Gg","Depth_m",6
"Gg","T_C",16.196
"Gg","Salinity",0.253
"Gg","Cond_uScm",0.4321
"Gg","EC25_uScm",535.866
"Gg","Density_kgm3",999.135
"Gg","Chla_ugL",6.22
"Gg","Turbidity_FTU",2.68
"Gg","DO_pc",23.83
"Gg","DO_mgL",2.338
"Gg","Depth_m",6.1
"Gg","T_C",15.924
"Gg","Salinity",0.253
"Gg","Cond_uScm",0.4301
"Gg","EC25_uScm",537.391
"Gg","Density_kgm3",999.18
"Gg","Chla_ugL",5.95
"Gg","Turbidity_FTU",2.57
"Gg","DO_pc",21.54
"Gg","DO_mgL",2.124
"Gg","Depth_m",6.2
"Gg","T_C",15.438
"Gg","Salinity",0.253
"Gg","Cond_uScm",0.4255
"Gg","EC25_uScm",538.888
"Gg","Density_kgm3",999.259
"Gg","Chla_ugL",5.37
"Gg","Turbidity_FTU",2.38
"Gg","DO_pc",17.62
"Gg","DO_mgL",1.754
"Gg","Depth_m",6.3
"Gg","T_C",15.237
"Gg","Salinity",0.253
"Gg","Cond_uScm",0.4227
"Gg","EC25_uScm",538.319
"Gg","Density_kgm3",999.29
"Gg","Chla_ugL",5.54
"Gg","Turbidity_FTU",2.35
"Gg","DO_pc",15.96
"Gg","DO_mgL",1.597
"Gg","Depth_m",6.4
"Gg","T_C",14.64
"Gg","Salinity",0.254
"Gg","Cond_uScm",0.4194
"Gg","EC25_uScm",543.16
"Gg","Density_kgm3",999.382
"Gg","Chla_ugL",5.84
"Gg","Turbidity_FTU",2.31
"Gg","DO_pc",11.98
"Gg","DO_mgL",1.213
"Gg","Depth_m",6.5
"Gg","T_C",14.291
"Gg","Salinity",0.256
"Gg","Cond_uScm",0.4183
"Gg","EC25_uScm",547.219
"Gg","Density_kgm3",999.434
"Gg","Chla_ugL",6.27
"Gg","Turbidity_FTU",2.42
"Gg","DO_pc",9.41
"Gg","DO_mgL",0.956
"Gg","Depth_m",6.6
"Gg","T_C",13.983
"Gg","Salinity",0.255
"Gg","Cond_uScm",0.4143
"Gg","EC25_uScm",546.86
"Gg","Density_kgm3",999.477
"Gg","Chla_ugL",6.26
"Gg","Turbidity_FTU",2.62
"Gg","DO_pc",7.35
"Gg","DO_mgL",0.753
"Gg","Depth_m",6.7
"Gg","T_C",13.715
"Gg","Salinity",0.26
"Gg","Cond_uScm",0.4182
"Gg","EC25_uScm",556.312
"Gg","Density_kgm3",999.518
"Gg","Chla_ugL",7.04
"Gg","Turbidity_FTU",2.5
"Gg","DO_pc",5.42
"Gg","DO_mgL",0.557
"Gg","Depth_m",6.8
"Gg","T_C",13.633
"Gg","Salinity",0.255
"Gg","Cond_uScm",0.4101
"Gg","EC25_uScm",546.916
"Gg","Density_kgm3",999.526
"Gg","Chla_ugL",7.03
"Gg","Turbidity_FTU",2.63
"Gg","DO_pc",4.49
"Gg","DO_mgL",0.463
"Gg","Depth_m",6.9
"Gg","T_C",13.473
"Gg","Salinity",0.255
"Gg","Cond_uScm",0.4085
"Gg","EC25_uScm",547.217
"Gg","Density_kgm3",999.548
"Gg","Chla_ugL",6.87
"Gg","Turbidity_FTU",2.92
"Gg","DO_pc",4.14
"Gg","DO_mgL",0.43
"Gg","Depth_m",7
"Gg","T_C",13.198
"Gg","Salinity",0.255
"Gg","Cond_uScm",0.4059
"Gg","EC25_uScm",548.199
"Gg","Density_kgm3",999.585
"Gg","Chla_ugL",7.75
"Gg","Turbidity_FTU",3.37
"Gg","DO_pc",3.54
"Gg","DO_mgL",0.37
"Gg","Depth_m",7.1
"Gg","T_C",13.117
"Gg","Salinity",0.255
"Gg","Cond_uScm",0.4053
"Gg","EC25_uScm",548.805
"Gg","Density_kgm3",999.596
"Gg","Chla_ugL",7.75
"Gg","Turbidity_FTU",3.53
"Gg","DO_pc",3.32
"Gg","DO_mgL",0.348
"Gg","Depth_m",7.2
"Gg","T_C",12.942
"Gg","Salinity",0.255
"Gg","Cond_uScm",0.4041
"Gg","EC25_uScm",549.963
"Gg","Density_kgm3",999.619
"Gg","Chla_ugL",7.84
"Gg","Turbidity_FTU",3.77
"Gg","DO_pc",2.9
"Gg","DO_mgL",0.305
"Gg","Depth_m",7.3
"Gg","T_C",12.757
"Gg","Salinity",0.256
"Gg","Cond_uScm",0.4036
"Gg","EC25_uScm",552.35
"Gg","Density_kgm3",999.643
"Gg","Chla_ugL",8.68
"Gg","Turbidity_FTU",4.15
"Gg","DO_pc",2.52
"Gg","DO_mgL",0.266
"Gg","Depth_m",7.4
"Gg","T_C",12.609
"Gg","Salinity",0.257
"Gg","Cond_uScm",0.4031
"Gg","EC25_uScm",554.117
"Gg","Density_kgm3",999.662
"Gg","Chla_ugL",9.8
"Gg","Turbidity_FTU",4.69
"Gg","DO_pc",2.17
"Gg","DO_mgL",0.23
"Gg","Depth_m",7.5
"Gg","T_C",12.461
"Gg","Salinity",0.257
"Gg","Cond_uScm",0.4023
"Gg","EC25_uScm",555.616
"Gg","Density_kgm3",999.681
"Gg","Chla_ugL",12.49
"Gg","Turbidity_FTU",5.35
"Gg","DO_pc",1.89
"Gg","DO_mgL",0.2
"Gg","Depth_m",7.6
"Gg","T_C",12.369
"Gg","Salinity",0.258
"Gg","Cond_uScm",0.4021
"Gg","EC25_uScm",556.794
"Gg","Density_kgm3",999.693
"Gg","Chla_ugL",12.87
"Gg","Turbidity_FTU",5.53
"Gg","DO_pc",1.76
"Gg","DO_mgL",0.187
"Gg","Depth_m",7.7
"Gg","T_C",12.185
"Gg","Salinity",0.259
"Gg","Cond_uScm",0.4015
"Gg","EC25_uScm",559.136
"Gg","Density_kgm3",999.716
"Gg","Chla_ugL",13.89
"Gg","Turbidity_FTU",5.78
"Gg","DO_pc",1.53
"Gg","DO_mgL",0.163
"Gg","Depth_m",7.8
"Gg","T_C",12.043
"Gg","Salinity",0.26
"Gg","Cond_uScm",0.4015
"Gg","EC25_uScm",561.583
"Gg","Density_kgm3",999.734
"Gg","Chla_ugL",15.44
"Gg","Turbidity_FTU",6.07
"Gg","DO_pc",1.32
"Gg","DO_mgL",0.141
"Gg","Depth_m",7.9
"Gg","T_C",11.971
"Gg","Salinity",0.261
"Gg","Cond_uScm",0.4023
"Gg","EC25_uScm",563.905
"Gg","Density_kgm3",999.743
"Gg","Chla_ugL",16.67
"Gg","Turbidity_FTU",6.03
"Gg","DO_pc",1.23
"Gg","DO_mgL",0.132
"Gg","Depth_m",8
"Gg","T_C",11.843
"Gg","Salinity",0.263
"Gg","Cond_uScm",0.405
"Gg","EC25_uScm",569.958
"Gg","Density_kgm3",999.76
"Gg","Chla_ugL",14.91
"Gg","Turbidity_FTU",5.81
"Gg","DO_pc",1.06
"Gg","DO_mgL",0.114
"Gg","Depth_m",8.1
"Gg","T_C",11.761
"Gg","Salinity",0.265
"Gg","Cond_uScm",0.4065
"Gg","EC25_uScm",573.489
"Gg","Density_kgm3",999.771
"Gg","Chla_ugL",12.87
"Gg","Turbidity_FTU",5.57
"Gg","DO_pc",1
"Gg","DO_mgL",0.108
"Gg","Depth_m",8.2
"Gg","T_C",11.58
"Gg","Salinity",0.267
"Gg","Cond_uScm",0.4081
"Gg","EC25_uScm",579.04
"Gg","Density_kgm3",999.794
"Gg","Chla_ugL",11.07
"Gg","Turbidity_FTU",5.29
"Gg","DO_pc",0.88
"Gg","DO_mgL",0.095
"Gg","Depth_m",8.3
"Gg","T_C",11.425
"Gg","Salinity",0.27
"Gg","Cond_uScm",0.4105
"Gg","EC25_uScm",585.362
"Gg","Density_kgm3",999.813
"Gg","Chla_ugL",10.25
"Gg","Turbidity_FTU",5.21
"Gg","DO_pc",0.77
"Gg","DO_mgL",0.084
"Gg","Depth_m",8.4
"Gg","T_C",11.361
"Gg","Salinity",0.271
"Gg","Cond_uScm",0.4121
"Gg","EC25_uScm",588.731
"Gg","Density_kgm3",999.822
"Gg","Chla_ugL",9.96
"Gg","Turbidity_FTU",5.29
"Gg","DO_pc",0.73
"Gg","DO_mgL",0.079
"Gg","Depth_m",8.5
"Gg","T_C",11.242
"Gg","Salinity",0.275
"Gg","Cond_uScm",0.4162
"Gg","EC25_uScm",596.828
"Gg","Density_kgm3",999.838
"Gg","Chla_ugL",9.15
"Gg","Turbidity_FTU",5.43
"Gg","DO_pc",0.65
"Gg","DO_mgL",0.07
"Gg","Depth_m",8.6
"Gg","T_C",11.145
"Gg","Salinity",0.279
"Gg","Cond_uScm",0.4214
"Gg","EC25_uScm",606.168
"Gg","Density_kgm3",999.851
"Gg","Chla_ugL",8.37
"Gg","Turbidity_FTU",6.17
