"Depth_m","T_C","Salinity","Cond_uScm","EC25_uScm","Density_kgm3","Chla_ugL","Turbidity_FTU","DO_pc","DO_mgL","Lake"
14.7,9.851,0.212,0.3116,467.338,999.951,1.07,1.18,0.84,0.094,"Sc"
14.8,9.836,0.211,0.3114,467.253,999.953,1.14,0.85,0.87,0.098,"Sc"
14.9,9.825,0.212,0.3115,467.663,999.954,1.14,0.65,0.85,0.096,"Sc"
15,9.805,0.212,0.3117,468.16,999.957,1.2,0.5,0.8,0.091,"Sc"
15.1,9.777,0.212,0.3118,468.768,999.96,1.2,0.43,0.66,0.075,"Sc"
15.2,9.758,0.212,0.3116,468.727,999.962,1.31,0.64,0.55,0.062,"Sc"
15.3,9.742,0.212,0.3116,469.045,999.964,1.32,0.82,0.5,0.056,"Sc"
15.4,9.71,0.212,0.3115,469.424,999.967,1.32,0.79,0.43,0.049,"Sc"
15.5,9.686,0.212,0.3111,469.203,999.969,1.32,0.6,0.36,0.04,"Sc"
15.6,9.657,0.212,0.311,469.466,999.973,1.37,0.85,0.31,0.035,"Sc"
15.7,9.652,0.212,0.3109,469.414,999.973,1.39,0.97,0.29,0.033,"Sc"
15.8,9.62,0.212,0.3108,469.753,999.977,1.46,1.08,0.25,0.028,"Sc"
15.9,9.604,0.212,0.3105,469.569,999.978,1.56,1.46,0.22,0.025,"Sc"
16,9.588,0.212,0.3105,469.792,999.98,1.47,1.1,0.2,0.023,"Sc"
16.1,9.575,0.212,0.3103,469.616,999.982,1.41,0.67,0.19,0.022,"Sc"
16.2,9.552,0.212,0.31,469.645,999.984,1.41,0.61,0.17,0.019,"Sc"
16.3,9.544,0.212,0.3101,469.898,999.985,1.4,0.5,0.16,0.018,"Sc"
16.4,9.526,0.212,0.3097,469.557,999.987,1.4,0.74,0.16,0.018,"Sc"
16.5,9.517,0.212,0.3097,469.704,999.988,1.39,0.49,0.15,0.017,"Sc"
16.6,9.512,0.212,0.3096,469.648,999.989,1.42,0.56,0.14,0.016,"Sc"
16.7,9.506,0.212,0.3097,469.785,999.99,1.46,0.72,0.13,0.015,"Sc"
16.8,9.495,0.212,0.3097,470.096,999.992,2.02,1.82,0.13,0.015,"Sc"
16.9,9.484,0.212,0.3095,469.914,999.993,1.56,0.96,0.12,0.013,"Sc"
17,9.482,0.212,0.3096,470.014,999.994,1.62,1.21,0.13,0.015,"Sc"
17.1,9.479,0.212,0.3096,470.115,999.994,1.6,1.21,0.11,0.013,"Sc"
17.2,9.465,0.212,0.3093,469.967,999.996,1.61,1.35,0.11,0.013,"Sc"
17.3,9.45,0.212,0.3094,470.33,999.998,1.7,1.54,0.11,0.013,"Sc"
17.4,9.434,0.212,0.3092,470.292,999.999,1.6,1.33,0.1,0.011,"Sc"
17.5,9.415,0.212,0.3093,470.753,1000.002,1.59,1.24,0.11,0.012,"Sc"
17.6,9.409,0.212,0.309,470.33,1000.002,1.59,1.36,0.1,0.011,"Sc"
17.7,9.396,0.212,0.3091,470.706,1000.004,1.63,1.59,0.09,0.011,"Sc"
17.8,9.391,0.212,0.3091,470.697,1000.005,1.62,1.5,0.09,0.011,"Sc"
17.9,9.388,0.212,0.3089,470.563,1000.006,1.61,1.68,0.1,0.011,"Sc"
18,9.385,0.212,0.309,470.685,1000.006,1.66,2.02,0.1,0.011,"Sc"
18.1,9.371,0.212,0.3088,470.668,1000.008,1.74,2.63,0.1,0.011,"Sc"
18.2,9.354,0.212,0.309,471.203,1000.01,2.11,3.69,0.09,0.01,"Sc"
18.3,9.338,0.213,0.309,471.391,1000.012,2.09,4.16,0.09,0.011,"Sc"
18.4,9.316,0.213,0.3087,471.388,1000.014,2.04,4.18,0.1,0.011,"Sc"
18.5,9.303,0.213,0.3087,471.548,1000.015,2.03,4.29,0.1,0.011,"Sc"
18.6,9.289,0.213,0.3087,471.801,1000.017,2.1,4.36,0.09,0.011,"Sc"
18.7,9.284,0.213,0.3086,471.625,1000.018,2.11,4.41,0.1,0.011,"Sc"
18.8,9.28,0.212,0.3084,471.481,1000.019,2.09,4.41,0.1,0.012,"Sc"
18.9,9.272,0.213,0.3086,471.872,1000.02,2.13,4.41,0.1,0.011,"Sc"
19,9.264,0.213,0.3085,471.889,1000.021,2.18,4.44,0.09,0.011,"Sc"
19.1,9.261,0.213,0.3084,471.734,1000.022,2.18,4.54,0.09,0.011,"Sc"
19.2,9.251,0.213,0.3083,471.77,1000.023,2.2,4.45,0.08,0.01,"Sc"
19.3,9.243,0.213,0.3082,471.653,1000.024,2.28,4.4,0.09,0.011,"Sc"
19.4,9.202,0.213,0.3081,472.172,1000.028,2.18,3.87,0.09,0.01,"Sc"
19.5,9.152,0.213,0.3078,472.602,1000.032,2.22,3.4,0.09,0.01,"Sc"
19.6,9.137,0.213,0.3077,472.62,1000.034,2.23,3.01,0.09,0.01,"Sc"
19.7,9.118,0.213,0.3076,472.729,1000.036,2.2,2.88,0.08,0.01,"Sc"
19.8,9.112,0.213,0.3075,472.752,1000.037,2.25,2.98,0.09,0.01,"Sc"
19.9,9.109,0.213,0.3075,472.752,1000.037,2.22,2.85,0.09,0.01,"Sc"
20,9.104,0.213,0.3075,472.88,1000.038,2.2,2.78,0.08,0.009,"Sc"
20.1,9.1,0.213,0.3074,472.83,1000.039,2.23,2.77,0.08,0.009,"Sc"
20.2,9.093,0.213,0.3073,472.667,1000.04,2.21,2.73,0.08,0.009,"Sc"
20.3,9.082,0.213,0.3072,472.745,1000.041,2.15,2.57,0.07,0.008,"Sc"
20.4,9.063,0.213,0.3072,473.023,1000.043,2.08,2.5,0.07,0.008,"Sc"
20.5,9.045,0.213,0.3072,473.318,1000.045,2.05,2.6,0.08,0.009,"Sc"
20.6,9.032,0.213,0.3072,473.492,1000.047,2.03,2.62,0.07,0.008,"Sc"
