"Depth_m","T_C","Salinity","Cond_uScm","EC25_uScm","Density_kgm3","Chla_ugL","Turbidity_FTU","DO_pc","DO_mgL","Lake"
24,5.915,0.137,0.1845,317.958,1000.17,0.6,1.59,30.17,3.734,"St"
24.1,5.905,0.137,0.1843,317.866,1000.171,0.59,1.64,29.59,3.668,"St"
24.2,5.902,0.137,0.1844,318.033,1000.172,0.56,1.65,29.22,3.627,"St"
24.3,5.89,0.137,0.1844,318.215,1000.173,0.57,1.65,28.88,3.583,"St"
24.4,5.893,0.137,0.1846,318.387,1000.173,0.58,1.75,28.4,3.523,"St"
24.5,5.908,0.137,0.1846,318.283,1000.173,0.56,1.74,27.81,3.452,"St"
24.6,5.899,0.137,0.1847,318.548,1000.174,0.58,1.72,26.7,3.307,"St"
24.7,5.894,0.137,0.1848,318.77,1000.175,0.57,1.81,25.48,3.156,"St"
24.8,5.892,0.137,0.1847,318.743,1000.175,0.59,1.81,24.57,3.044,"St"
24.9,5.892,0.137,0.1848,318.791,1000.176,0.58,1.85,24.24,3.009,"St"
25,5.883,0.137,0.1849,319.086,1000.177,0.58,1.88,23.2,2.88,"St"
25.1,5.881,0.137,0.1849,319.156,1000.177,0.58,1.91,22.22,2.755,"St"
25.2,5.882,0.138,0.1849,319.165,1000.178,0.56,1.88,21.41,2.658,"St"
25.3,5.881,0.138,0.1849,319.194,1000.178,0.59,1.96,21.03,2.611,"St"
25.4,5.879,0.138,0.1849,319.224,1000.179,0.58,2,20.08,2.49,"St"
25.5,5.88,0.138,0.1849,319.217,1000.179,0.58,2,19.71,2.447,"St"
25.6,5.881,0.138,0.185,319.263,1000.18,0.59,2.11,19.15,2.378,"St"
25.7,5.884,0.138,0.185,319.193,1000.18,0.58,2.1,18.76,2.331,"St"
25.8,5.885,0.138,0.1851,319.501,1000.18,0.59,2.11,18.21,2.263,"St"
25.9,5.88,0.138,0.1852,319.72,1000.181,0.63,2.25,17.57,2.179,"St"
26,5.882,0.138,0.1852,319.71,1000.182,0.59,2.24,17.03,2.113,"St"
26.1,5.882,0.138,0.1852,319.573,1000.182,0.61,2.32,16.42,2.038,"St"
26.2,5.882,0.138,0.1852,319.582,1000.182,0.67,2.46,16.07,1.995,"St"
26.3,5.877,0.138,0.1851,319.579,1000.183,0.61,2.36,15.35,1.905,"St"
26.4,5.875,0.138,0.1851,319.52,1000.184,0.62,2.42,14.89,1.848,"St"
26.5,5.875,0.138,0.1851,319.575,1000.184,0.62,2.45,14.43,1.791,"St"
26.6,5.876,0.138,0.1851,319.547,1000.185,0.6,2.48,14.19,1.762,"St"
26.7,5.878,0.138,0.1851,319.525,1000.185,0.58,2.5,13.94,1.73,"St"
26.8,5.876,0.138,0.1851,319.534,1000.185,0.61,2.85,13.82,1.716,"St"
26.9,5.873,0.138,0.1852,319.66,1000.186,0.65,3.17,13.65,1.695,"St"
27,5.871,0.138,0.1851,319.666,1000.187,0.61,2.74,13.43,1.667,"St"
27.1,5.873,0.138,0.1852,319.674,1000.187,0.59,2.64,13.06,1.622,"St"
27.2,5.872,0.138,0.1852,319.694,1000.188,0.59,2.67,12.79,1.588,"St"
27.3,5.872,0.138,0.1851,319.641,1000.188,0.61,2.71,12.5,1.552,"St"
27.4,5.87,0.138,0.1851,319.606,1000.189,0.59,2.8,12.15,1.51,"St"
27.5,5.87,0.138,0.1851,319.541,1000.189,0.58,2.91,11.75,1.46,"St"
27.6,5.873,0.138,0.185,319.479,1000.189,0.58,2.92,11.49,1.428,"St"
27.7,5.871,0.138,0.1851,319.589,1000.19,0.59,3.33,11.12,1.382,"St"
27.8,5.869,0.138,0.1851,319.628,1000.191,0.58,3.53,10.88,1.351,"St"
27.9,5.864,0.138,0.1851,319.612,1000.191,0.58,3.4,10.69,1.328,"St"
28,5.865,0.138,0.1851,319.704,1000.192,0.6,3.07,10.47,1.301,"St"
28.1,5.866,0.138,0.185,319.536,1000.192,0.63,2.75,10.36,1.287,"St"
28.2,5.869,0.138,0.185,319.514,1000.192,0.63,2.91,10.28,1.277,"St"
28.3,5.875,0.138,0.185,319.448,1000.193,0.62,3.01,10.08,1.252,"St"
28.4,5.873,0.138,0.1851,319.513,1000.193,0.58,3.24,10,1.243,"St"
28.5,5.869,0.138,0.1851,319.687,1000.194,0.59,3.46,9.99,1.241,"St"
28.6,5.865,0.138,0.1851,319.734,1000.195,0.61,3.65,10,1.243,"St"
28.7,5.866,0.138,0.1851,319.733,1000.195,0.6,3.63,9.94,1.236,"St"
28.8,5.862,0.138,0.1852,319.909,1000.196,0.61,3.79,9.46,1.175,"St"
28.9,5.861,0.138,0.1852,319.938,1000.196,0.61,3.83,9.03,1.121,"St"
29,5.862,0.138,0.1853,320.06,1000.197,0.59,3.8,8.61,1.07,"St"
29.1,5.862,0.138,0.1853,320.097,1000.197,0.61,3.9,8.14,1.011,"St"
29.2,5.86,0.138,0.1854,320.224,1000.198,0.59,3.88,7.62,0.947,"St"
29.3,5.86,0.138,0.1854,320.192,1000.198,0.6,3.88,7.03,0.873,"St"
